image,attack,l_inf,l_inf_255,l2,l2_normalized,pixels_changed,pixels_changed_pct,total_pixels,avg_perturbation,avg_perturbation_255,perturbation_std,perturbation_median,ssim,R_max,G_max,B_max,R_mean,G_mean,B_mean
bubble.jpeg,fgm,0.3019607843137255,77.00000000000001,103.47083926888808,0.2666915933266475,50120,99.88839285714286,50176,0.24871039561657995,63.42115088222789,0.09626808953827959,0.30196078431372547,0.1324043846247908,0.3019607843137255,0.3019607843137255,0.3019607843137255,0.27997581845238084,0.25425826580632244,0.21189710259103636
bubble.jpeg,pgd,0.3019607843137255,77.00000000000001,62.632786124614015,0.16143328539795607,50146,99.94021045918367,50176,0.13223667070995065,33.72035103103742,0.09259680639161383,0.1215686274509804,0.36410531521122547,0.3019607843137255,0.3019607843137255,0.3019607843137255,0.14478244422769104,0.13395459746398558,0.11797297043817528
bubble.jpeg,hc,0.0,0.0,0.0,0.0,0,0.0,50176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
castle.jpg,fgm,0.3019607843137255,77.00000000000001,106.8034634633458,0.27528128741494223,50135,99.91828762755102,50176,0.26647023392690405,67.94990965136053,0.06908980845080592,0.3019607843137254,0.20718992386732457,0.3019607843137255,0.3019607843137255,0.3019607843137255,0.2782947554021608,0.27783269557823126,0.24328325080032007
castle.jpg,pgd,0.3019607843137255,77.00000000000001,65.1961042606465,0.16804012654017486,50157,99.96213329081633,50176,0.14291206065759637,36.44257546768708,0.0883947229546961,0.13333333333333336,0.41374779696091063,0.3019607843137255,0.3019607843137255,0.3019607843137255,0.14455407162865147,0.14550210709283715,0.1386800032513005
castle.jpg,hc,0.29803921568627456,76.00000000000001,3.5773476736705407,0.009220458224904322,150,0.2989477040816326,50176,0.00043225623582766437,0.11022534013605441,0.009210320538602004,0.0,0.9846602869234273,0.2980392156862745,0.29803921568627456,0.29803921568627456,0.00046088747999199677,0.00044275522709083634,0.0003931260004001601
cup.jpeg,fgm,0.3019607843137255,77.00000000000001,96.97773344594998,0.24995589513579908,50165,99.97807716836735,50176,0.2310274630685607,58.912003082482975,0.09541625029963913,0.29803921568627445,0.12482654708368102,0.3019607843137255,0.3019607843137255,0.3019607843137255,0.2472461640906362,0.22571825605242093,0.220117969062625
cup.jpeg,pgd,0.3019607843137255,77.00000000000001,60.1965764813017,0.15515406087398853,50171,99.99003507653062,50176,0.12867133832699748,32.81119127338436,0.08669757377705957,0.11372549019607847,0.297836642092636,0.3019607843137255,0.3019607843137255,0.3019607843137255,0.13432458921068427,0.12630903924069628,0.12538038652961184
cup.jpeg,hc,0.0,0.0,0.0,0.0,0,0.0,50176,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
espresso.jpeg,fgm,0.3019607843137255,77.00000000000001,105.08005699250025,0.27083928210304126,50171,99.99003507653062,50176,0.2583582912331599,65.88136426445577,0.08127059788861188,0.3019607843137254,0.16397232957492164,0.3019607843137255,0.3019607843137255,0.3019607843137255,0.26483585621748695,0.26033233605942374,0.249906681422569
