number_of_evaluations_to_find_crash,frequency
1,5
2,2
3,3
5,3
6,2
7,3
8,4
9,1
10,1
11,1
12,1
13,1
14,5
16,3
17,3
19,2
20,1
21,5
22,1
23,4
24,1
26,1
28,1
29,2
30,3
N/A,41
